company_id,type,country,authority,registration_number
13519032,"CompanyRegistrationNumber","United Kingdom","Companies House","08564226"
2336897,"CompanyRegistrationNumber","United Kingdom","Companies House","07435784"
684790,"CompanyRegistrationNumber","United Kingdom","Companies House","02563408"
2704805,"CompanyRegistrationNumber","United Kingdom","Companies House","07843270"
13642378,"","","","107 278 580"
13642378,"","","","3219943"
13642378,"CompanyRegistrationNumber","United Kingdom","Companies House","06083329"
12942688,"CompanyRegistrationNumber","United Kingdom","Companies House","SC201665"
12739166,"CompanyRegistrationNumber","United Kingdom","Companies House","374413"
971596,"CompanyRegistrationNumber","United Kingdom","Companies House","04031583"
1201079,"CompanyRegistrationNumber","United Kingdom","Companies House","04792881"
27084,"CompanyRegistrationNumber","United Kingdom","Companies House","07847269"
1991548,"CompanyRegistrationNumber","United Kingdom","Companies House","06902329"
4588888,"CompanyRegistrationNumber","United Kingdom","Companies House","SO302198"
2286613,"CompanyRegistrationNumber","United Kingdom","Companies House","07368545"
57477,"CompanyRegistrationNumber","United Kingdom","Companies House","07117510"
1174204,"CompanyRegistrationNumber","United Kingdom","Companies House","04708601"
1108820,"CompanyRegistrationNumber","United Kingdom","Companies House","04518454"
15142835,"CompanyRegistrationNumber","United Kingdom","Companies House","08707226"
14163338,"CompanyRegistrationNumber","","","565564"
14163338,"CompanyRegistrationNumber","","","7849716"
3390536,"CompanyRegistrationNumber","United Kingdom","Companies House","05477362"
3465213,"CompanyRegistrationNumber","United Kingdom","Companies House","05535367"
450640,"CompanyRegistrationNumber","United Kingdom","Companies House","00389997"
2633072,"CompanyRegistrationNumber","United Kingdom","Companies House","07765697"
454689,"CompanyRegistrationNumber","United Kingdom","Companies House","00455541"
13547928,"CompanyRegistrationNumber","United Kingdom","Companies House","08594147"
124387,"CompanyRegistrationNumber","United Kingdom","Companies House","04862447"
2209591,"CompanyRegistrationNumber","United Kingdom","Companies House","07257214"
2816098,"CompanyRegistrationNumber","United Kingdom","Companies House","07962214"
1120705,"CompanyRegistrationNumber","United Kingdom","Companies House","04554093"
3480474,"CompanyRegistrationNumber","","","1113488"
3480474,"CompanyRegistrationNumber","United Kingdom","Companies House","05697763"
